city;postalCode;street;streetNumber
Philadelphia;MJ88 4VN;82718 West Comoros Blvd.;511
Flagstaff;TW2 8TO;69842 South Aspen Blvd.;254
Hackensack;VS87 5AT;21455 South Peru Blvd.;665
Pittsfield;PK64 3JX;78852 West Bangladesh Way;314
Winston-Salem;YZ19 2SC;31114  Qatar Ln.;183
Valdosta;DU10 4RO;38311 East Taiwan;217
Crown Point;HD44 5QT;19450  Niger St.;820
Nogales;AM77 6JJ;4711 West Benin Ct.;804
Helena;OU68 4QA;26873 West China Ave.;470
Kalamazoo;PD44 9JI;42872 South Paraguay St.;917
Easthampton;HI95 1UO;3463 North Taiwan;242
Jefferson City;OW81 2FV;15296 East Poland Ave.;187
Williamsport;MN95 1NM;28469 West Healdsburg Way;399
Nogales;KZ52 3IJ;11888 East Barre Way;608
Tacoma;XB21 4VC;93622 South Gaithersburg Way;875
Toledo;ON51 5QX;66900 East Beaumont Ave.;755
Cicero;BR1 3KY;40236 East Libyan Arab Jamahiriya Ct.;502
Claremore;AZ50 6BZ;44707 West Benin Ln.;165
Lakewood;ZC88 5FA;37961 South Netherlands Blvd.;780
Roanoke;SJ1 9CM;26671 East Spain St.;244
Newark;UU9 5OY;13229 North Equatorial Guinea Ave.;543
DuBois;WT26 4AC;56848 East Greenland Way;899
Portland;SW63 6TY;21158 North Tuvalu Ln.;906
Troy;QL17 5AM;51751 North Chad Ln.;727
Buena Park;MJ21 5HG;7819  Canada St.;310
Kenner;BI49 9VE;2343 South Brazil Ct.;894
Fountain Valley;DJ95 0YN;92346 South Fontana Ave.;845
Quincy;YC83 0DY;70046 South Ecuador Blvd.;633
Watertown;IQ92 1WL;91280 West Denmark Ln.;938
New York;ET54 2AU;48228 East Cameroon Ln.;799
Lubbock;AQ78 8JR;94344 South Western Sahara St.;476
Tallahassee;GH20 9BH;20018 South Bahamas Ct.;989
Helena;PZ55 5GP;14095 West Korea;526
Port Washington;NV51 8OF;8544 South Cayman Islands St.;434
Gilette;IY13 9EJ;69280  Ogden Way;811
Easton;CG12 6MQ;19394  Brown Deer Ct.;393
Green Bay;UC40 9NT;28185 North Cincinnati Way;818
Radford;SZ59 0XP;32591 East Bhutan Ct.;175
Casper;VO88 7GW;14600 East Peru Ave.;576
Hazleton;TI70 5PS;65446 East Belize Ln.;579
Gainesville;HV1 0VG;74897 West Chad Ct.;971
Wilmington;GN10 9ME;19534 South Aliquippa Ct.;903
Reedsport;BU63 1OQ;94407 East Tanzania;627
Grand Rapids;XZ42 4GJ;99866  Gloversville Blvd.;546
Gardner;XF43 3OY;51495  San Marino Ave.;581
St. Petersburg;UM63 0RH;33297  Virgin Islands;40
Ann Arbor;MQ65 5YY;54383 South American Samoa Ln.;336
Walnut;RK6 8FN;37496  Belpre Ave.;620
Columbus;WE64 1PE;93082 West Australia St.;248
Duquesne;RR85 9MO;41066 North Lebanon Ct.;778
Woodward;WO26 0GP;66929  Algeria Way;438
Joplin;ZY24 6DV;70039  Carolina Ln.;887
Evanston;BT27 7JH;29332  Chile Ave.;825
Sedalia;JH6 7PB;50391 East Eritrea Ave.;111
Missoula;BM26 3CY;26553 East Dodge City Ave.;717
Sherrill;TX99 4MU;52231 West New Zealand Ln.;347
Phoenix;TU32 7UP;19608 South United States Ln.;22
Bayamon;CM72 0TU;31608 North Kankakee Way;744
Revere;IV67 1JB;23563 North Moldova Ct.;357
Jeffersontown;HB83 7GB;97906 South Western Sahara Ct.;270
Miami Beach;PY79 1DW;40797 South Malta Ave.;479
Plymouth;RI98 3IX;28103 East Chile Ct.;316
Dalton;GR4 7SI;10217 East Egypt Ln.;849
Marquette;DR35 6SQ;85978 West Moultrie Ct.;225
Sharon;JD20 3CA;8640 West Italy Blvd.;806
Sutter Creek;XG78 0YS;90349 East British Indian Ocean Territory Ct.;442
Wynne;ZR38 7FG;94054 East Bouvet Island Blvd.;963
Bossier City;NR59 6KC;51662 North Gibraltar St.;79
Champaign;DP86 3GT;51962 West Sweden Ln.;154
Rochester;RD56 3UI;79066 South Norfolk Island Blvd.;626
Reedsport;CH17 9CM;69703  Abilene Ave.;733
Del Rio;JF43 9MQ;59419 South Cohoes Way;939
Bellingham;UT71 2CQ;6570 South Colombia Ct.;288
Sunbury;QT99 9KO;1186 North Barbados Ct.;276
Spokane;CU17 9ED;2957  Gettysburg St.;319
Galveston;DV16 9YU;72374 South Myanmar Ct.;661
Ketchikan;PP50 6PB;30436  Fort Collins St.;645
Claremont;YM70 3XI;32636 North Venezuela Ave.;503
Scottsbluff;MA46 3TR;25483 North Christmas Island Ln.;277
Cincinnati;YK25 7ZG;9645 North Ashland Blvd.;553
Moline;IR7 8LC;53030  Norway St.;158
Williamsburg;XQ13 5QL;68919 West Hilo Ave.;846
Saratoga Springs;UY96 3PZ;77396 East Latrobe Way;237
Green Bay;ZU30 4JA;59613  Oman Way;277
Midland;LF21 5VH;92522 West British Indian Ocean Territory Blvd.;745
Saint Cloud;IT40 3OL;19575 East Newport Beach Ct.;379
Caguas;KN46 8NO;44164 West Guatemala Ct.;401
Glendora;ZN11 9ND;67813 North Togo St.;715
Dalton;FM70 4JJ;53305 North Bowling Green Ct.;48
Grand Rapids;DB16 6GD;59800 East Cambodia Way;309
South Bend;LY29 1CN;83548 East Tokelau St.;184
New Britain;XO40 7YR;90501 South Togo Blvd.;108
Culver City;NO69 0EU;73350  Saudi Arabia Ave.;648
Enid;VX3 1BK;89319 East Chad St.;794
Scottsbluff;IT96 6JJ;66847 East Ardmore Ave.;472
St. George;KK31 0TE;55921 South Mongolia Way;138
Flint;RR32 6NG;3301 South Cambodia Ave.;729
Agawam;EG21 5KU;52502 West Austria Ln.;662
Tulsa;ET98 4QR;53636 West Philadelphia Blvd.;201
Kennewick;EI38 6GI;51166 South New Zealand Ct.;738
Oxnard;PI47 2WR;29988  Chino Hills Ln.;613
Culver City;IM42 2SB;1379 North Uganda Blvd.;85
Lander;ZY23 6CB;74764  Mexico Blvd.;985
South Pasadena;IB4 0XP;29716 South Malaysia Ct.;898
Fort Worth;OV98 5KL;75745 North Burkina Faso Blvd.;726
Bandon;FO37 8AC;22832 West Grand Junction Ave.;223
Jefferson City;VC31 4ZE;4665 West Lafayette Way;40
Hazleton;PZ80 8MA;25855  Germany Ct.;63
Corvallis;TX14 2KY;81975 South Slovakia Ln.;296
Missoula;PI93 7JU;53232 South Panama Ln.;648
West Sacramento;JF30 3JB;35637 North Duarte St.;335
Miami Beach;TE44 5ZJ;68305  Juneau St.;653
Lahaina;KA68 6BQ;5457  Myanmar St.;42
Olympia;YB17 7UO;2641 East Luxembourg Ln.;194
Geneva;YX9 3TP;70877 North China Ct.;367
Poughkeepsie;MG0 0PZ;49814 North Zambia Ct.;680
Latrobe;TQ40 4YI;82705  Hayward St.;771
Paterson;YC71 9JP;34088 South Bulgaria Way;587
Hartford;GT2 1MN;86786 West Macao Way;789
Fort Lauderdale;NP61 1GE;22986 West Arlington Blvd.;574
St. George;OO34 7YQ;26597 West Butler Ln.;533
Thiensville;JA26 6WR;42073 South Del Rio Blvd.;29
Melrose;SV28 7XA;61529  Pakistan Ln.;548
Natchez;EH74 5BL;24282 North Gilette Way;969
Tyler;KG36 0NR;46928 North Seychelles Blvd.;511
Pittston;ZD39 3MR;14977 East Tanzania;874
Altoona;CF46 8PK;36089 West Cincinnati St.;820
Boulder;JM56 1QG;84696  Carson City Ave.;450
Morgan City;DG15 4SC;79950 South Deadwood Way;143
North Charleston;EV20 3IU;59839 East Fredericksburg Ct.;83
Vermillion;FU67 9CH;74082 North Qatar Ct.;457
Butte;IK58 6RH;16943 South Philippines Blvd.;228
Oil City;JC42 1FQ;19587 South Suriname Ln.;843
Peoria;QS73 9RJ;59549  Port Jervis Ave.;342
Redding;YP22 3SX;72012  Afghanistan Blvd.;427
Steubenville;JC74 4AA;7961 East Comoros Ave.;593
Huntington Beach;CX27 9NJ;86542  Carson Ave.;981
Flagstaff;XF9 5EP;7591 East Sudan Blvd.;530
Isle of Palms;VQ66 5IY;48414 North Biloxi Way;927
Oneida;PJ73 6CJ;41887 West Blacksburg St.;420
Pulaski;BL58 5SK;60602 West Gibraltar Ln.;450
Lebanon;DC85 3FN;17693 North British Indian Ocean Territory Way;231
Darlington;HI26 5AO;15000  Costa Rica Blvd.;632
Utica;TY18 8DX;56480  Djibouti Way;549
Bossier City;TR55 4NN;16268 East Greenfield Ln.;723
Garden Grove;VL55 5RJ;80722 South Hackensack Blvd.;814
Gettysburg;AX59 8VO;8498 South Agoura Hills St.;836
Kalamazoo;PI39 9LN;34993 East Libyan Arab Jamahiriya Blvd.;193
Alamogordo;EU58 2VO;51373  Blacksburg Ln.;258
Manhattan Beach;SL78 6FZ;89914 North India St.;811
Gallup;ID97 5UA;16747 East Tonga Ave.;695
Tampa;XV90 0VG;86811 North Egg Harbor Blvd.;46
Warwick;KF96 7XG;33682 West Cape May Ct.;777
Minot;VC21 1GS;61871  Angola Blvd.;832
Baltimore;WQ71 6IT;93517 South Belarus Ln.;517
Nacogdoches;ZI62 0WU;10413 South Cape Coral Ave.;465
Waltham;BI41 8DJ;71079  Lockport Way;132
