city;postalCode;street;streetNumber;entityId
Suffolk;YX20 8ZO;60939 South Belarus Way;212;0
Hartford;DR48 6ZI;57062 West Western Sahara Ct.;946;1
Miami Gardens;BT82 4CA;74703 South Appleton St.;399;2
Bend;ZF51 8UM;95682 South Bulgaria Ave.;15;3
Beverly Hills;AK46 5BH;46451  Brazil Blvd.;363;4
Pittston;IA45 9BL;70649 North Solomon Islands Ln.;705;5
Narragansett;AI2 5DE;18075  India Blvd.;812;6
La Jolla;HV71 3QD;11760 East United States Ave.;867;7
Arvada;WQ83 1LM;3638  Cayman Islands Way;6;8
Seward;ZH64 2HC;54551  Healdsburg Ln.;468;9
Greensboro;FI72 8YG;40290 South Chino Ct.;19;10
Sheboygan;XR51 0LQ;81330  Frederiksted Ln.;813;11
Lahaina;TW86 8WN;11040 North Burkina Faso St.;45;12
Owensboro;SB54 1OU;91721 East Falkland Islands (Malvinas) Way;397;13
Newark;EH50 6YH;61145 South Congo Ct.;323;14
Helena;XM72 1US;95427 South Colombia Ln.;895;15
Georgetown;FK21 3LX;96633 North Kennesaw Ln.;391;16
Weymouth;FX77 7HB;13569 North Fontana St.;605;17
East Rutherford;MM3 0TK;59583 West Northern Mariana Islands Ct.;749;18
Appleton;JW37 7SB;35295 North Sweden Ct.;888;19
Meriden;FC46 4KX;20865  Olean Ave.;863;20
Weirton;WK29 8FH;54447  Burkina Faso Way;606;21
Parma;AB50 0NI;86940  Turkmenistan Ave.;409;22
Farmer City;LO23 2WN;7832  Lesotho Ct.;140;23
Murfreesboro;EH24 3LS;99238  Niue Ln.;462;24
Woburn;IB57 2FC;84928 East Madagascar Ct.;854;25
Reno;IF64 8VO;22663 South Indonesia Ct.;477;26
Mequon;OS7 3NF;60151 South Brunei Darussalam Ln.;175;27
Lawndale;RH17 4KE;59919 East East Rutherford Blvd.;900;28
Truth or Consequences;ZC36 4HA;35569 South Aruba Ln.;104;29
Irvine;VR4 4LA;52785 West Aurora Ln.;936;30
Norton;RC15 2WB;51698 North Hungary Ln.;497;31
Fairmont;PY1 0PZ;3506 South Denmark St.;594;32
