city;postalCode;street;streetNumber
West Bend;OU72 7CT;56880 West Albania St.;343
Blacksburg;TN50 5TJ;17311 East Abilene Way;996
Watervliet;KC57 1RH;70523 West French Polynesia Ct.;311
Syracuse;KC51 7UD;23854 South Saint Lucia Way;598
New Madrid;JA97 8AQ;29483 South China St.;881
Bayamon;PL20 8MK;63420 West Cambodia Ln.;786
Hermitage;EK45 7JN;19638 South American Samoa St.;937
Somerville;UI74 7WV;46629 South Malta Blvd.;486
Brea;IP84 3LL;62130 East Iceland Ln.;637
Plymouth;RW78 4UL;18788 West Hoover St.;821
Beckley;FX70 9KE;80461 East Georgia Ave.;649
Chesapeake;HJ24 2ME;54519 West Haverhill St.;239
Elsmere;LF27 0TA;37275  Fremont Way;920
Hopkinsville;XI11 9DE;79876 West Iceland Way;425
Duquesne;YB91 2QP;50771  Michigan City St.;839
Newport;WH21 2NJ;94973 South Italy St.;272
Alameda;SS57 6JY;17052 North Lynchburg Way;473
Harrisburg;AK44 2OT;97260  Palau Ct.;894
Durango;XM45 1FS;62616 South Antigua and Barbuda Ave.;235
Mount Pleasant;LG44 1JA;80959 West Venezuela Ct.;321
San Bernardino;BN3 4TJ;45718 North Turkmenistan Ave.;453
Mount Vernon;XC27 5JF;9435 East Indonesia Ct.;552
Danbury;IL53 3PI;24747  Bosnia and Herzegovina Ln.;802
Phenix City;GP10 9KI;72151 West Latvia Way;608
Anaconda;NS26 1KM;83920 North Hilo Ln.;776
Raleigh;XV38 3XV;83608  Lebanon St.;630
Salinas;CQ26 6HA;33321 East Bhutan Ct.;889
Springfield;JQ82 2GZ;12785  Oman Ave.;390
Houston;RX42 1CK;19635 East Pocatello Blvd.;719
Coatesville;KE81 1SW;61809 West Chad Ave.;658
Yazoo City;CO5 8WL;83967 East Bahamas Ave.;401
Clarksburg;RV33 0ZE;98688 East Guadeloupe Way;396
West Hartford;KV87 2WZ;70673 North North Charleston Ln.;734
Gatlinburg;XQ45 4KF;55785  Denmark Ln.;999
Eugene;OO74 3AQ;94745 East Peru Way;215
Lafayette;JJ81 4ZT;58454 West East Hartford St.;42
Nampa;IQ27 7NQ;40551 East Iraq Way;109
Dearborn;XB60 5NC;77428  Nauru Ln.;511
Yuma;KA18 9VC;25815 North Hialeah St.;180
Farmington;VQ54 0SF;81528 East Austria Ln.;763
Monterey Park;OA65 7XF;91641 East Paraguay Way;439
Oswego;XD31 0BT;86785 West Forrest City Ave.;579
Lynn;RT39 6KP;15204 South Thailand Blvd.;830
Modesto;KF82 6HT;59109 North Sao Tome and Principe Ln.;694
West Hollywood;WG35 3HH;81339 West Romania Way;1
Muskogee;HQ64 3FX;55580 East Romania St.;457
